YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE,SALE_DATE,PROFIT,ODOMETER
2005,Mitsubishi,Galant,ES,sedan,automatic,4a3ab36f75e066354,mn,29,silver,black,onemain rem/us auto fleet group,1975,3100,2015-06-03T03:30:00-07:00,30:00.0,1125,130422
2005,Mercury,Grand Marquis,GS,sedan,automatic,2mefm74w45x611338,fl,24,white,tan,regional acceptance corporation / greenville,3950,4100,2015-06-02T09:00:00-07:00,00:00.0,150,84204
2005,Mazda,Tribute,s,suv,automatic,4f2cz06115km48407,tx,29,red,black,fairway ford henderson,3550,4600,2015-06-03T03:00:00-07:00,00:00.0,1050,91127
2005,Mercedes-Benz,C-Class,C230 Kompressor,sedan,automatic,wdbrf40j45a766898,tx,31,silver,black,supreme fcu,5225,5500,2015-06-03T03:20:00-07:00,20:00.0,275,109433
2005,Mercedes-Benz,E-Class,E320,sedan,automatic,wdbuf65j75a713465,ca,24,black,black,aaero sweet corporation,5800,6200,2015-06-03T04:30:00-07:00,30:00.0,400,155021
2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh9e4230186,il,4,silver,gray,gm remarketing,10300,10800,2015-06-11T04:00:00-07:00,00:00.0,500,16638
2014,Chevrolet,Malibu,LS Fleet,sedan,automatic,1g11a5sl5eu169008,il,4,white,gray,gm remarketing,12950,14000,2015-06-11T04:00:00-07:00,00:00.0,1050,27458
2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e38e1178814,il,4,silver,black,gm remarketing,13300,13600,2015-06-11T04:00:00-07:00,00:00.0,300,27509
2014,Chevrolet,Impala Limited,LTZ Fleet,sedan,automatic,2g1wc5e31e1170048,il,4,white,gray,gm remarketing,14350,15700,2015-06-11T04:00:00-07:00,00:00.0,1350,28193
2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e36e1180397,ne,46,gray,gray,galyen leasing inc,14200,15100,2015-06-04T04:00:00-07:00,00:00.0,900,8923
